直播,#genre#
CCTV1,http://www.biaozhun114.com/dl/dl666/aikan.php?id=1#http://www.biaozhun114.com/dl/dl666/aikan.php?id=2#http://cfss.cc/api/ysp/cctv1.m3u8
CCTV2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=#http://www.biaozhun114.com/dl/dl666/aikan.php?id=3#http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV3,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv3hd/3000/index.m3u8?&encrypt=
CCTV4,http://www.biaozhun114.com/dl/dl666/aikan.php?id=5#http://61.169.37.218:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://61.169.37.218:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-5+,http://www.biaozhun114.com/dl/dl666/aikan.php?id=10#http://www.biaozhun114.com/dl/dl666/aikan.php?id=11
CCTV6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=#http://www.biaozhun114.com/dl/dl666/aikan.php?id=12#http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901_fhd.m3u8#http://mobilelive-pull.ysp.cctv.cn/ysp/2013693901_fhd.m3u8
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8#http://49.235.110.121:9090/daili/小果.php?id=CCTV-7H265_4000&Cf.m3u8
CCTV8,http://61.169.37.218:9901/tsfile/live/0008_1.m3u8?key=txiptv#http://49.235.110.121:9090/daili/小果.php?id=CCTV-8H265_4000&Cf.m3u8
CCTV9,http://61.169.37.218:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://61.169.37.218:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://61.169.37.218:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://www.biaozhun114.com/dl/dl666/aikan.php?id=18#http://61.169.37.218:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#http://www.biaozhun114.com/dl/dl666/aikan.php?id=19#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV14,http://www.biaozhun114.com/dl/dl666/aikan.php?id=20#http://61.169.37.218:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://61.169.37.218:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://cfss.cc/api/ysp/cctv16.m3u8
CCTV17,http://www.biaozhun114.com/dl/dl666/aikan.php?id=22#http://cfss.cc/api/ysp/cctv17.m3u8
北京卫视,http://cfss.cc/api/ysp/bjws.m3u8
东方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=#http://www.biaozhun114.com/dl/dl666/aikan.php?id=28#http://cfss.cc/api/ysp/dfws.m3u8#http://www.biaozhun114.com/dl/dl666/aikan.php?id=27
辽宁卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?&encrypt=
吉林卫视1,http://www.biaozhun114.com/dl/dl666/aikan.php?id=30
吉林卫视2,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/0533b55e42354f4f802bdec78e26b571/1.m3u8
黑龙江卫视,https://iptv.luas.edu.cn/liverespath/fe1745c7599e85d0a34fa0ad3986ef25c2ed7c6f/62f40ca683-0-0-8f0a9a264759754e90aa804bf7e9f8a8/index.m3u8
广西卫视,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
江苏卫视,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/2500/index.m3u8?&encrypt=#http://www.biaozhun114.com/dl/dl666/aikan.php?id=40#http://ftxz.7766.org:808/hls/32/index.m3u8#https://video.lzjtu.edu.cn/liverespath/0be64515076e489456de2f33e7b58ff1b392d3b3/index.m3u8
江西卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/jxwshd/50/20190820/index.m3u8?&encrypt=
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://cfss.cc/api/ysp/zjws.m3u8#http://ftxz.7766.org:808/hls/31/index.m3u8#https://video.lzjtu.edu.cn/liverespath/f650ba03bb4883fe67a1fb7c193a00a4c0c93881/index.m3u8
浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经视,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
天津卫视,http://cfss.cc/api/ysp/tjws.m3u8
湖北卫视,http://www.biaozhun114.com/dl/dl666/aikan.php?id=37
湖南卫视,http://www.biaozhun114.com/dl/dl666/aikan.php?id=38#http://ftxz.7766.org:808/hls/30/index.m3u8#https://video.lzjtu.edu.cn/liverespath/9b1ccba5a2c611bb5d7c96243695572090cca5fd/index.m3u8
广东卫视,https://iptv.luas.edu.cn/liverespath/57e80ee85ec1f4e523e1bca55f5a676abd292db8/0ff9a42344-0-0-0eb4f8fe53cdbc02d1db696ecc425752/index.m3u8#http://www.biaozhun114.com/dl/dl666/aikan.php?id=41
